cntry,label
8,Albania
20,Andorra
31,Azerbaijan
36,Australia
40,Austria
50,Bangladesh
51,Armenia
68,Bolivia
70,Bosnia and Herzegovina
100,Bulgaria
112,Belarus
124,Canada
152,Chile
158,Taiwan ROC
170,Colombia
191,Croatia
196,Cyprus
203,Czechia
208,Denmark
218,Ecuador
231,Ethiopia
233,Estonia
246,Finland
250,France
268,Georgia
276,Germany
300,Greece
320,Guatemala
344,Hong Kong SAR
348,Hungary
352,Iceland
360,Indonesia
380,Italy
392,Japan
404,Kenya
410,South Korea
428,Latvia
434,Libya
440,Lithuania
446,Macau SAR
458,Malaysia
462,Maldives
484,Mexico
496,Mongolia
499,Montenegro
528,Netherlands
554,New Zealand
558,Nicaragua
578,Norway
604,Peru
608,Philippines
616,Poland
620,Portugal
630,Puerto Rico
642,Romania
643,Russia
688,Serbia
702,Singapore
703,Slovakia
705,Slovenia
716,Zimbabwe
724,Spain
752,Sweden
756,Switzerland
764,Thailand
792,Turkey
804,Ukraine
807,North Macedonia
826,Great Britain
858,Uruguay
862,Venezuela
909,North Ireland
